OTU ID	LCL-L1	LCL-L3	LCL-L2
4323163	1.0	3.0	2.0
531614	0.0	21.0	0.0
816470	0.0	0.0	1.0
129416	24.0	182.0	179.0
2221284	1.0	0.0	0.0
673010	1.0	0.0	0.0
562113	4.0	2.0	1.0
4386989	0.0	0.0	2.0
630875	36.0	0.0	0.0
4313102	0.0	2.0	6.0
109053	1.0	0.0	0.0
949863	0.0	2.0	0.0
3836889	423.0	1105.0	711.0
1108960	0.0	2.0	1.0
544561	0.0	0.0	1.0
567883	22.0	506.0	115.0
650924	2.0	0.0	1.0
243648	0.0	1.0	4.0
3653755	0.0	1.0	2.0
19154	23.0	49.0	49.0
1081058	1.0	1.0	0.0
536415	1.0	39.0	3.0
241325	15.0	3.0	5.0
878059	1.0	0.0	0.0
580916	0.0	0.0	1.0
132529	0.0	1.0	1.0
2092399	40.0	0.0	2.0
959160	0.0	14.0	6.0
1142548	0.0	2.0	0.0
807035	1.0	7.0	9.0
522557	7.0	30.0	9.0
819999	9.0	15.0	3.0
150851	0.0	18.0	9.0
566212	1.0	22.0	11.0
244241	0.0	1.0	0.0
1105689	2.0	3.0	4.0
563306	0.0	97.0	7.0
888396	1.0	5.0	1.0
150553	0.0	0.0	4.0
104281	0.0	2.0	1.0
593437	1.0	3.0	6.0
838066	5.0	9.0	11.0
463861	0.0	0.0	1.0
64874	1.0	0.0	2.0
140091	0.0	4.0	1.0
1111582	0.0	4.0	1.0
753306	0.0	6.0	4.0
807452	0.0	1.0	0.0
623091	0.0	1.0	0.0
592210	0.0	2.0	0.0
194107	0.0	1.0	0.0
530251	0.0	1.0	1.0
104665	0.0	2.0	2.0
650087	0.0	3.0	0.0
766768	0.0	3.0	0.0
4410100	0.0	11.0	4.0
260455	0.0	5.0	0.0
583211	0.0	3.0	4.0
65477	0.0	1.0	0.0
921945	19.0	0.0	0.0
251779	310.0	0.0	4.0
259049	12.0	0.0	0.0
1143602	4.0	8.0	32.0
90530	0.0	6.0	0.0
4322951	0.0	1.0	0.0
80201	1.0	225.0	85.0
539878	0.0	0.0	1.0
806030	0.0	1.0	1.0
942823	5.0	14.0	72.0
701865	0.0	1.0	0.0
519193	0.0	1.0	33.0
4414834	0.0	0.0	2.0
573135	1.0	0.0	5.0
577116	0.0	0.0	1.0
2918986	212.0	73.0	400.0
552528	50.0	0.0	0.0
205602	0.0	1.0	1.0
10708	1.0	0.0	0.0
4456046	0.0	0.0	1.0
536612	4.0	11.0	5.0
558048	22.0	1.0	2.0
149147	1.0	0.0	0.0
1013670	1.0	2.0	91.0
149145	309.0	110.0	296.0
524318	32.0	0.0	0.0
24886	0.0	1.0	0.0
158404	1.0	1.0	1.0
742726	1.0	4.0	0.0
3109779	1.0	1.0	0.0
737597	83.0	160.0	550.0
4816	0.0	3.0	6.0
346995	58.0	3.0	1.0
4359270	0.0	0.0	1.0
661367	225.0	49.0	2.0
4338540	1.0	7.0	1.0
754800	0.0	6.0	0.0
671413	0.0	6.0	0.0
821005	27.0	47.0	103.0
49166	1.0	0.0	0.0
4299928	0.0	1.0	6.0
826904	0.0	26.0	36.0
793575	0.0	1.0	0.0
4482362	2.0	0.0	0.0
583746	1.0	16.0	0.0
557938	0.0	201.0	68.0
689925	1.0	0.0	3.0
10413	2.0	2.0	2.0
1109080	0.0	1.0	0.0
2440020	0.0	8.0	4.0
14134	0.0	8.0	0.0
134168	27.0	1.0	27.0
10418	13.0	8.0	20.0
3820817	0.0	0.0	1.0
109057	0.0	1.0	0.0
336057	0.0	0.0	1.0
808786	0.0	1.0	0.0
4305923	0.0	1.0	1.0
554415	0.0	1.0	1.0
135965	1.0	0.0	0.0
38503	0.0	1.0	0.0
644544	0.0	0.0	1.0
575041	0.0	1.0	0.0
255072	1.0	1.0	0.0
817523	0.0	0.0	1.0
163720	0.0	1.0	0.0
247260	0.0	0.0	1.0
62406	0.0	0.0	2.0
128054	0.0	5.0	19.0
167461	144.0	0.0	19.0
518002	0.0	1.0	0.0
128050	1.0	4.0	0.0
548230	0.0	0.0	1.0
365842	1.0	2.0	0.0
274900	0.0	0.0	1.0
820379	316.0	0.0	16.0
1126915	40.0	257.0	181.0
565033	0.0	1.0	0.0
823314	0.0	0.0	4.0
718979	0.0	9.0	9.0
4458983	0.0	0.0	1.0
648004	0.0	4.0	0.0
830893	0.0	74.0	50.0
919487	1.0	0.0	1.0
29360	0.0	1.0	0.0
554705	14.0	11.0	3.0
810167	1.0	1.0	0.0
363389	0.0	3.0	0.0
220164	1.0	0.0	3.0
4367588	0.0	1.0	0.0
32525	0.0	0.0	1.0
564527	0.0	3.0	0.0
572889	8.0	1.0	0.0
1992	2.0	0.0	0.0
557001	24.0	35.0	38.0
182118	0.0	1.0	0.0
824692	0.0	0.0	2.0
219151	5.0	5.0	1.0
182117	1.0	0.0	0.0
1145138	0.0	1.0	0.0
560237	0.0	1.0	0.0
204265	3.0	0.0	0.0
512615	0.0	1.0	0.0
1142732	0.0	0.0	2.0
321743	0.0	2.0	0.0
83475	0.0	1.0	0.0
709657	0.0	1.0	3.0
210958	1.0	0.0	2.0
928406	0.0	1.0	2.0
2861	0.0	0.0	1.0
2863	0.0	0.0	1.0
365628	0.0	2.0	0.0
555945	0.0	31.0	20.0
111050	0.0	3.0	10.0
169112	0.0	1.0	0.0
115023	10.0	0.0	0.0
226780	0.0	2.0	5.0
521927	1.0	0.0	0.0
587648	0.0	0.0	2.0
938794	340.0	500.0	51.0
517116	0.0	21.0	16.0
2398623	12.0	21.0	36.0
688528	16.0	69.0	61.0
798634	0.0	2.0	1.0
368490	0.0	2.0	2.0
575295	0.0	0.0	2.0
1512104	1.0	0.0	0.0
157448	2.0	0.0	0.0
3719340	5.0	19.0	18.0
638679	0.0	14.0	19.0
630311	0.0	1.0	0.0
575299	0.0	4.0	0.0
584598	0.0	1.0	0.0
771082	40.0	2.0	1.0
137866	0.0	0.0	1.0
495096	0.0	3.0	0.0
34202	0.0	0.0	2.0
540672	0.0	0.0	2.0
83643	0.0	1.0	0.0
78716	1.0	0.0	0.0
4414476	0.0	1.0	0.0
112764	1.0	1.0	0.0
78718	1.0	0.0	1.0
588929	0.0	153.0	0.0
1502622	0.0	11.0	1.0
892323	0.0	0.0	2.0
306315	1.0	0.0	0.0
243780	0.0	1.0	1.0
625060	1.0	0.0	0.0
27616	1.0	0.0	0.0
297414	0.0	19.0	0.0
765873	0.0	1.0	0.0
1135458	0.0	0.0	1.0
360015	2.0	0.0	0.0
1116073	1.0	0.0	0.0
1287	1.0	20.0	6.0
573730	0.0	2.0	0.0
722182	0.0	0.0	1.0
359809	0.0	2.0	0.0
2475174	1.0	0.0	2.0
4437436	3.0	14.0	0.0
1051459	1.0	3.0	1.0
234394	0.0	2.0	2.0
4397252	0.0	1.0	0.0
347153	10.0	427.0	174.0
531801	0.0	16.0	1.0
525517	0.0	0.0	1.0
531803	69.0	2.0	5.0
811387	0.0	1.0	0.0
4323373	0.0	1.0	0.0
4312979	0.0	3.0	2.0
1040114	1.0	38.0	5.0
1041071	0.0	1.0	3.0
838016	0.0	1.0	0.0
356644	3.0	2.0	0.0
543306	0.0	1.0	0.0
241991	19.0	0.0	1.0
1108350	0.0	1.0	7.0
4306788	0.0	3.0	6.0
355592	0.0	0.0	2.0
727953	0.0	1.0	0.0
1122072	1.0	1.0	0.0
532336	0.0	6.0	1.0
3357674	0.0	3.0	0.0
4386	1.0	0.0	0.0
378495	30.0	20.0	159.0
751555	0.0	1.0	0.0
1108289	0.0	90.0	46.0
198786	0.0	1.0	0.0
869526	2.0	1.0	1.0
640641	4.0	4.0	0.0
110015	9.0	0.0	0.0
777103	1857.0	13.0	29.0
