	chrom	start	end	geneid	genename	gains	losses
1	1	11873	14409	NR_046018	DDX11L1	0	0
2	1	14361	29370	NR_024540	WASH7P	0	0
3	1	17368	17436	NR_128720	MIR6859-4	0	0
4	1	17368	17436	NR_107063	MIR6859-3	0	0
5	1	17368	17436	NR_106918	MIR6859-1	0	0
6	1	17368	17436	NR_107062	MIR6859-2	0	0
7	1	30365	30503	NR_036267	MIR1302-10	0	0
8	1	30365	30503	NR_036051	MIR1302-2	0	0
9	1	30365	30503	NR_036266	MIR1302-9	0	0
10	1	30365	30503	NR_036268	MIR1302-11	0	0
11	1	34610	36081	NR_026820	FAM138F	0	0
12	1	34610	36081	NR_026818	FAM138A	0	0
13	1	69090	70008	NM_001005484	OR4F5	0	0
14	1	134772	140566	NR_039983	LOC729737	0	0
15	1	323891	328581	NR_028325	LOC100132062	0	0
16	1	323891	328581	NR_028322	LOC100132287	0	0
17	1	323891	328581	NR_028327	LOC100133331	0	0
18	1	367658	368597	NM_001005224	OR4F3	0	0
19	1	367658	368597	NM_001005277	OR4F16	0	0
20	1	367658	368597	NM_001005221	OR4F29	0	0
21	1	562759	564389	NR_125957	LOC101928626	0	0
22	1	567704	567793	NR_106781	MIR6723	0.1501	0
23	1	621095	622034	NM_001005224	OR4F3	0.1501	0
24	1	621095	622034	NM_001005277	OR4F16	0.1501	0
25	1	621095	622034	NM_001005221	OR4F29	0.1501	0
26	1	661138	665731	NR_028327	LOC100133331	0.1501	0
27	1	700244	714068	NR_033908	LOC100288069	0.1501	0
28	1	752750	755214	NR_103536	FAM87B	0.1501	0
29	1	761585	762902	NR_024321	LINC00115	0.1501	0
30	1	762970	778984	NR_047526	LINC01128	0.1501	0
31	1	762970	794826	NR_047524	LINC01128	0.1501	0
32	1	762970	794826	NR_047523	LINC01128	0.1501	0
33	1	762970	794826	NR_047521	LINC01128	0.1501	0
34	1	762970	794826	NR_047519	LINC01128	0.1501	0
35	1	763177	794826	NR_047525	LINC01128	0.1501	0
36	1	803450	812182	NR_027055	FAM41C	0.1501	0
37	1	852197	855072	NR_122045	LOC100130417	0.1501	0
38	1	852197	855072	NR_026874	LOC100130417	0.1501	0
39	1	861120	879961	NM_152486	SAMD11	0.1501	0
40	1	879582	894679	NM_015658	NOC2L	0.1501	0
41	1	895966	901099	NM_198317	KLHL17	0.1501	0
42	1	901876	910484	NM_001160184	PLEKHN1	0.1501	0
43	1	901876	910484	NM_032129	PLEKHN1	0.1501	0
44	1	910578	917497	NM_001291367	PERM1	0.1501	0
45	1	910578	917497	NM_001291366	PERM1	0.1501	0
46	1	934341	935552	NM_021170	HES4	0.1501	0
47	1	934343	935552	NM_001142467	HES4	0.1501	0
48	1	948846	949919	NM_005101	ISG15	0.1501	0
49	1	955502	991499	NM_001305275	AGRN	0.1501	0
